case_number,year,type,country,age,species_,month,fatal,sex
ND.0069,0,Unprovoked,fiji,27,1.8 m [6'] shark,,N,M
ND.0068,0,Unprovoked,mozambique,36,"""A pack of sharks""",,N,M
ND.0066,0,Unprovoked,seychelles,,Tiger shark,,Y,M
ND.0065,0,Unprovoked,iraq,25,,,N,M
ND.0064,0,Unprovoked,iraq,6,Bull shark,,N,M
ND.0063,0,Unprovoked,iraq,16,Bull shark,,N,M
ND.0062,0,Unprovoked,bahamas,,"White shark, 7' to 8'",,N,M
ND.0060,0,Unprovoked,usa,,"White shark, 1,900-lb ",Jun,N,F
ND.0059,0,Unprovoked,bermuda,,,Apr,N,M
ND.0058,0,Unprovoked,fiji,,,,N,F
ND.0057,0,Unprovoked,madagascar,,,,Y,M
ND.0056,0,Unprovoked,usa,,,,N,M
ND.0055,0,Provoked,bahamas,,"Nurse shark, 2.1 m [7']",,N,M
ND.0054,0,Unprovoked,indonesia,,,,Y,M
ND.0053,0,Unprovoked,india,,,,Y,M
ND.0052,0,Unprovoked,nicaragua,,"Bull shark caught, leg recovered & buried beside the man's body",,Y,M
ND.0051,0,Provoked,cuba,50,,,Y,M
ND.0049,0,Unprovoked,marshall islands,,,,N,M
ND.0048,0,Unprovoked,kiribati,,,,N,M
ND.0047,0,Unprovoked,north pacific ocean,,,Mar,N,M
ND.0046,0,Unprovoked,kiribati,,,,Y,M
ND.0044,0,Sea Disaster,,,1.2 m [4'] shark,,Y,
ND.0043,0,Unprovoked,solomon islands,,,,N,M
ND.0042,0,Unprovoked,australia,,,,N,M
ND.0041,0,Unprovoked,iran,,,,Y,M
ND.0040,0,Unprovoked,iran,,,,Y,M
ND.0039,0,Unprovoked,iran,,,,Y,M
ND.0038,0,Unprovoked,iraq,13 or 14,Bull shark,,Y,M
ND.0037,0,Unprovoked,saudi arabia,,"""a black-tipped shark""",,Y,M
ND.0036,0,Unprovoked,saudi arabia,,6' shark,,N,M
ND.0035,0,Unprovoked,saudi arabia,,,,N,M
ND.0034,0,Sea Disaster,pacific ocean,,,,Y,M
ND.0033,0,Provoked,burma,,,,N,M
ND.0032,0,Sea Disaster,papua new guinea,,,,N,M
ND.0031,0,Sea Disaster,papua new guinea,,,,N,M
ND.0030,0,Unprovoked,burma,,,,Y,M
ND.0028,0,Boat,italy,,White shark,,N,M
ND.0027,0,Unprovoked,greece,,,,N,M
ND.0026,0,Unprovoked,belize,16,12' tiger shark,,Y,M
ND.0025,0,Unprovoked,australia,,,,,M
ND.0024,0,Unprovoked,reunion,,,,Y,
ND.0023,0,Unprovoked,south africa,,,,N,F
ND.0022,0,Unprovoked,australia,,,,N,M
ND.0021,0,Unprovoked,south africa,,,,Y,M
ND.0020,0,Unprovoked,australia,,,,Y,M
ND.0019,0,Unprovoked,usa,,,,N,M
ND.0018,0,Unprovoked,vietnam,,,,N,M
ND.0017,0,Unprovoked,south africa,,,,Y,M
ND.0016,0,Unprovoked,south africa,,,,Y,M
ND.0015,0,Unprovoked,fiji,,,,Y,
ND.0014,0,Unprovoked,usa,,,Jul,N,M
ND.0013,0,Unprovoked,south africa,,,Jul,Y,M
ND.0012,0,Unprovoked,south africa,,,Jul,Y,M
ND.0011,0,Unprovoked,asia?,,,,N,M
ND.0010,0,Unprovoked,usa,,,,N,F
ND.0009,0,Unprovoked,australia,,Blue pointer,,Y,M
ND.0008,0,Unprovoked,australia,,Blue pointer,,Y,M
ND.0007,0,Unprovoked,australia,,Blue pointers,,Y,M
ND.0006,0,Unprovoked,australia,,Said to involve a grey nurse shark that leapt out of the water and  seized the boy but species identification is questionable,,Y,M
ND.0005,0,Unprovoked,australia,,,,Y,M
ND.0004,0,Unprovoked,australia,,,,Y,M
ND.0003,0,Unprovoked,usa,,,,Y,M
ND.0002,0,Unprovoked,panama,,,,Y,M
ND.0001,0,Unprovoked,ceylon (sri lanka),15,,,Y,M
2018.06.25,2018,Boating,usa,57,White shark,Jun,N,F
2018.06.03.a,2018,Unprovoked,brazil,18,Tiger shark,Jun,Y,M
2018.05.26.b,2018,Unprovoked,usa,15,"Bull shark, 6'",May,N,M
2018.05.24,2018,Provoked,australia,32,Grey reef shark,May,N,M
2018.05.13.a,2018,Invalid,england,21,Invalid incident,May,N,M
2018.04.28.b,2018,Unprovoked,costa rica,30,Tiger shark,Apr,N,M
2018.04.25.a,2018,Unprovoked,australia,60,3 m shark,Apr,N,M
2018.04.23,2018,Unprovoked,maldives,32,Tiger shark,Apr,N,M
2018.04.22,2018,Unprovoked,south africa,33,"White shark, 2.5 m",Apr,N,M
2018.04.03,2018,Unprovoked,south africa,19,White shark,Apr,N,M
2018.03.31,2018,Unprovoked,usa,25,"Tiger shark, 12'",Mar,N,M
2018.03.14,2018,Unprovoked,australia,10,Wobbegong shark,Mar,N,M
2018.03.09.b,2018,Unprovoked,australia,69,3.5 m shark,Mar,N,M
2018.03.09.a,2018,Unprovoked,australia,18,1.8 m shark,Mar,N,M
2018.02.23,2018,Unprovoked,australia,55,"Juvenile white shark,  2.7 to 3.2 m",Feb,N,F
2018.02.15,2018,Unprovoked,australia,35,"Bull shark, 2 m",Feb,N,M
2018.01.12,2018,Unprovoked,brazil,20,small shark,Jan,N,M
2017.12.31,2017,Unprovoked,usa,54,Tiger shark,Dec,N,F
2017.11.24,2017,Unprovoked,usa,25,"White shark, 4.6 m",Nov,N,M
2017.11.13,2017,Unprovoked,australia,25,2 m shark,Nov,N,M
2017.11.04,2017,Unprovoked,cuba,22,Tiger shark,Nov,Y,M
2017.10.28,2017,Unprovoked,australia,31,"Wobbegong shark, 1 m",Oct,N,M
2017.10.22,2017,Unprovoked,australia,15,"White shark, 4.5 m",Oct,N,F
2017.10.09,2017,Unprovoked,usa,54,"Tiger shark, 8 to 10 feet",Oct,N,M
2017.10.05,2017,Unprovoked,usa,40,8' shark,Oct,N,F
2017.09.24.b,2017,Invalid,usa,33,Questionable,Sep,,M
2017.09.13,2017,Unprovoked,usa,18,5' to 6' shark,Sep,N,M
2017.09.10.a,2017,Unprovoked,australia,35,"White shark, 3 to 3.5m ",Sep,N,M
2017.08.29,2017,Unprovoked,australia,37,"White shark, 3 m",Aug,N,M
2017.08.26.b,2017,Invalid,spain,11,Shark involvement questionable,Aug,,F
2017.08.23,2017,Unprovoked,usa,69,"White shark, 5' to 7'",Aug,N,M
2017.08.10,2017,Unprovoked,usa,13,Possibly a juvenile blacktip shark,Aug,N,M
2017.08.03,2017,Provoked,usa,34,4' shark,Aug,N,M
2017.07.29.c,2017,Invalid,usa,10,A small shark,Jul,,M
2017.07.20.b,2017,Boating,usa,40,"White shark, 11' to 13'",Jul,N,M
2017.07.20.a,2017,Unprovoked,usa,50,"White shark, 8' to 10'",Jul,N,M
2017.07.09,2017,Unprovoked,usa,46,"Bull shark, 4' to 5'",Jul,N,M
2017.07.07,2017,Unprovoked,south africa,13,"White shark, 2.5 m",Jul,N,F
2017.06.11,2017,Unprovoked,australia,48,"White shark, 4 m",Jun,N,M
2017.06.02,2017,Unprovoked,bahamas,32,Tiger shark,Jun,N,F
2017.05.03,2017,Invalid,usa,18,Shark involvement highly doubtful,May,,F
2017.04.17.a,2017,Unprovoked,australia,17,White shark,Apr,Y,F
2017.04.14,2017,Unprovoked,usa,28,"Tiger shark, 12'",Apr,N,M
2017.04.02.a,2017,Unprovoked,usa,17,"Bull shark, 5' to 7'",Apr,N,F
2017.01.21,2017,Unprovoked,australia,55,"Bull shark, 4 m",Jan,N,M
2017.01.09,2017,Unprovoked,indonesia,48,"Bull shark, 1 m",Jan,N,M
2017.01.03,2017,Invalid,australia,20,Shark involvement not confirmed,Jan,,M
2016.12.19,2016,Unprovoked,south africa,55,"White shark, 4 m",Dec,N,M
2016.12.11.a,2016,Invalid,usa,19,Shark involvement not confirmed,Dec,,M
2016.12.06,2016,Provoked,australia,20,"Wobbegong shark, 2m",Dec,N,M
2016.12.01,2016,Unprovoked,australia,65,White shark,Dec,N,M
2016.11.28,2016,Provoked,australia,73,"Broadnose sevengill shark, 1.5 m",Nov,N,M
2016.11.14,2016,Unprovoked,usa,58,Tiger shark,Nov,N,F
2016.10.21,2016,Unprovoked,usa,36, 6' to 8' shark,Oct,N,M
2016.09.26,2016,Unprovoked,australia,17,"White shark, 3.5 m",Sep,N,M
2016.09.11,2016,Unprovoked,usa,60s,3' to 4' shark,Sep,N,M
2016.09.07,2016,Unprovoked,usa,51,"Tiger shark, 10'",Sep,N,F
2016.08.29.b,2016,Unprovoked,usa,25,"Bull shark, 6'",Aug,N,M
2016.08.06,2016,Unprovoked,usa,21,"Tiger shark, 10' ",Aug,N,M
