case_number,year,type,country,age,species_,month,fatal,sex
2013.06.25.a,2013,Unprovoked,usa,14,4' to 5' shark,Jun,N,M
2013.06.18,2013,Unprovoked,usa,28,"Tiger shark, 14'",Jun,N,M
2013.06.14.R,2013,Unprovoked,usa,10,4' to 5' shark,Jun,N,F
2013.05.14,2013,Unprovoked,ecuador,29,Galapagos shark,May,N,M
2013.05.08.a,2013,Unprovoked,reunion,36,Bull shark,May,Y,M
2013.05.04.a,2013,Unprovoked,usa,16,a small shark,May,N,M
2013.04.24,2013,Unprovoked,mexico,34,Tiger shark,Apr,N,F
2013.04.21,2013,Unprovoked,australia,51,"Grey nurse shark, 3m",Apr,N,M
2013.04.17,2013,Unprovoked,usa,9,3' shark,Apr,N,M
2013.04.13.b,2013,Unprovoked,usa,21,Bull shark,Apr,N,M
2013.04.10,2013,Unprovoked,french polynesia,53,Possibly a blacktip reef shark,Apr,N,M
2013.04.02.a,2013,Unprovoked,usa,58,4' shark,Apr,N,M
2013.03.16.b,2013,Provoked,south africa,30,"Raggedtooth shark, 1.5 m",Mar,N,M
2013.03.12,2013,Unprovoked,jamaica,68,"Tiger shark, 4.8 m",Mar,Y,M
2013.03.10.b,2013,Unprovoked,australia,28,"Bronze whaler shark, 2.5m",Mar,N,M
2013.02.27,2013,Unprovoked,new zealand,46,"White shark, 4m",Feb,Y,M
2013.02.10,2013,Unprovoked,usa,16,"Blacktip shark, 4' to 5'",Feb,N,M
2013.02.09,2013,Unprovoked,french polynesia,48,Lemon shark,Feb,N,M
2013.01.16,2013,Unprovoked,usa,43,"Tiger shark, 15'",Jan,N,M
2012.12.30,2012,Unprovoked,australia,23,2.5 m shark,Dec,N,M
2012.12.28,2012,Unprovoked,australia,29,"Bull shark, 2m ",Dec,N,M
2012.12.19,2012,Unprovoked,australia,32,"Tiger shark, 6'",Dec,N,M
2012.12.05,2012,Unprovoked,usa,60,10' shark,Dec,N,M
2012.12.02,2012,Unprovoked,australia,31,Sandtiger shark,Dec,N,M
2012.11.30,2012,Unprovoked,usa,61,"Tiger shark, 10'",Nov,N,M
2012.11.22,2012,Unprovoked,mexico,32,2.5 m shark,Nov,Y,M
2012.11.19,2012,Unprovoked,usa,14,2' to 3' shark,Nov,N,M
2012.11.04.b,2012,Unprovoked,usa,30,"Tiger shark, 15'",Nov,N,M
2012.11.04.a,2012,Unprovoked,usa,43,"Tiger shark, 8'",Nov,N,M
2012.10.30,2012,Unprovoked,usa,25,White shark,Oct,N,M
2012.10.27,2012,Unprovoked,usa,51,"Tiger shark, 10' to 12' ",Oct,N,F
2012.10.23,2012,Unprovoked,usa,39,"White shark, 15' to 16' ",Oct,Y,M
2012.10.18.a,2012,Unprovoked,usa,55,6' to 8' shark,Oct,N,M
2012.10.02,2012,Unprovoked,australia,11,2m shark,Oct,N,M
2012.09.25,2012,Unprovoked,usa,21,5' shark,Sep,N,M
2012.09.24,2012,Unprovoked,usa,22,4' shark,Sep,N,M
2012.09.02.b,2012,Unprovoked,usa,8,3.5' to 4' shark,Sep,N,F
2012.09.02.a,2012,Unprovoked,usa,56,3.5' to 4' shark,Sep,N,F
2012.08.09,2012,Unprovoked,usa,56,"Lemon shark, 4' to 5' ",Aug,N,M
2012.07.31.a,2012,Unprovoked,australia,48,White shark or bronze whaler,Jul,N,M
2012.07.30.a,2012,Unprovoked,usa,50,Thought to involve a white shark,Jul,N,M
2012.07.14,2012,Unprovoked,australia,24,"White shark, 5m",Jul,Y,M
2012.07.07.a,2012,Boating,usa,52,14' to 18'shark,Jul,N,M
2012.07.06,2012,Unprovoked,south africa,29,15' shark,Jul,N,M
2012.06.26.c,2012,Unprovoked,usa,6,possibly a bull shark,Jun,N,M
2012.06.26.a,2012,Unprovoked,usa,16,a small reef shark,Jun,N,F
2012.06.20,2012,Unprovoked,australia,62,3 m shark,Jun,N,M
2012.06.15,2012,Provoked,usa,23,Nurse shark,Jun,N,M
2012.06.14.d,2012,Unprovoked,usa,18,small blacktip shark?,Jun,N,F
2012.06.14.a,2012,Unprovoked,usa,16,Blacktip shark ,Jun,N,M
2012.06.12,2012,Unprovoked,australia,42,1.5 m shark,Jun,N,M
2012.06.10,2012,Provoked,italy,57,"Blue shark, 2.5m",Jun,,M
2012.06.03,2012,Unprovoked,australia,30,"White shark, 2 m",Jun,N,M
2012.05.31,2012,Unprovoked,usa,33,"18"" to 24"" shark",May,N,F
2012.05.29,2012,Unprovoked,mexico,46,"Bull shark, 3m",May,N,M
2012.05.23,2012,Unprovoked,usa,22,4' to 5' shark,May,N,M
2012.05.12,2012,Boating,usa,30,White shark,May,N,M
2012.05.06,2012,Unprovoked,usa,15,White shark,May,N,F
2012.04.19.b,2012,Unprovoked,usa,28,5' shark,Apr,N,M
2012.04.19.a,2012,Unprovoked,south africa,20,"White shark, 4 m to 5m ",Apr,Y,M
2012.04.03,2012,Unprovoked,usa,28,"Tiger shark, 10'  ",Apr,N,M
2012.03.31,2012,Unprovoked,australia,33,"White shark, 4m ",Mar,Y,M
2012.03.20,2012,Unprovoked,australia,20,Possibly a bull shark,Mar,N,M
2012.03.15,2012,Unprovoked,usa,61,Possibly a 5' to 6' bull shark,Mar,N,M
2012.03.14.b,2012,Unprovoked,usa,15,4' to 5' shark,Mar,N,F
2012.03.14.a,2012,Unprovoked,usa,17,4' to 5' shark,Mar,N,M
2012.03.06.a,2012,Provoked,australia,34,"Tawny nurse shark, 40cm",Mar,N,F
2012.03.04,2012,Unprovoked,usa,19,4' shark,Mar,N,M
2012.01.19,2012,Unprovoked,australia,26,"Tiger shark, 3m",Jan,N,M
2012.01.18.a,2012,Unprovoked,australia,44,"White shark, 2.7 m",Jan,N,M
2012.01.15,2012,Unprovoked,south africa,25,Thought to involve a bull shark,Jan,Y,M
2012.01.03,2012,Unprovoked,australia,28,2 m shark,Jan,N,M
2012.01.02,2012,Unprovoked,australia,34,Allegedly a 4 m tiger shark,Jan,N,M
2011.12.11,2011,Unprovoked,australia,51,"White shark, 2.5m",Dec,N,M
2011.11.28,2011,Unprovoked,australia,10,Wobbegong shark?,Nov,N,M
2011.10.22,2011,Unprovoked,australia,32,"White shark, 10'",Oct,Y,M
2011.10.19,2011,Unprovoked,australia,50,"Port Jackson shark, 1m",Oct,N,M
2011.09.30,2011,Invalid,usa,27,No shark involvement,Sep,,M
2011.09.28.a,2011,Unprovoked,south africa,43,White shark,Sep,N,M
2011.09.24.b,2011,Unprovoked,usa,21,"Bull shark, 6'",Sep,N,M
2011.09.16,2011,Unprovoked,usa,25,4' to 6' shark,Sep,N,M
2011.09.11.a,2011,Unprovoked,papua new guinea,30,"Tiger shark, 2m",Sep,N,M
2011.09.04.a,2011,Unprovoked,australia,21,White shark,Sep,Y,M
2011.09.02,2011,Unprovoked,usa,19,"6' shark, possibly a blactip or spinner shark",Sep,N,M
2011.08.31,2011,Unprovoked,usa,19,6' shark,Aug,N,M
2011.08.28.b,2011,Invalid,australia,48,Shark involvement prior to death not confirmed,Aug,,M
2011.08.23,2011,Unprovoked,south africa,49,"White shark, >6'",Aug,Y,M
2011.08.17.c.,2011,Unprovoked,usa,20s,Possibly a 5' to 6' sandtiger shark,Aug,N,F
2011.08.17.a,2011,Unprovoked,russia,25,4 m shark,Aug,N,M
2011.08.16.c,2011,Unprovoked,french polynesia,32,Grey reef shark ,Aug,N,M
2011.08.16.a,2011,Unprovoked,seychelles,30,"Bull shark, 6'",Aug,Y,M
2011.07.22,2011,Unprovoked,south africa,29,"White shark, 3m to 4m",Jul,N,M
2011.06.28,2011,Unprovoked,south africa,22,"Bull shark, 3m female",Jun,N,M
2011.06.26,2011,Unprovoked,usa,10,"Bull shark, 6'",Jun,N,F
2011.06.12,2011,Unprovoked,usa,28,"Blacktip shark, 4'",Jun,N,M
2011.06.06.a,2011,Unprovoked,usa,19,3' to 4' shark,Jun,N,M
2011.05.21.b,2011,Unprovoked,south africa,28,Zambesi shark,May,Y,M
2011.05.21.a,2011,Unprovoked,new caledonia,15," Tiger shark, 2.8m",May,Y,M
2011.04.23,2011,Unprovoked,australia,17,"reef shark, 1.5m",Apr,N,M
2011.04.22,2011,Unprovoked,usa,49,1' to 2' shark,Apr,N,M
2011.04.16,2011,Unprovoked,new zealand,41,possibly a bronze whaler shark,Apr,N,M
2011.03.23,2011,Unprovoked,australia,48,"Bull shark, 2.5m",Mar,N,M
2011.03.16,2011,Unprovoked,australia,24,3 m to 4 m shark,Mar,N,F
2011.02.28.R,2011,Provoked,australia,36,"Bull shark, 2m",Feb,N,M
2011.02.23,2011,Unprovoked,new caledonia,21,1.5 m shark,Feb,N,M
2011.02.17,2011,Unprovoked,australia,49,White shark x 2,Feb,Y,M
2011.01.31,2011,Unprovoked,mexico,38,6' shark,Jan,N,F
2011.01.26,2011,Unprovoked,bahamas,55,Caribbean reef shark,Jan,N,M
2011.01.20,2011,Invalid,australia,7,Shark involvement not confirmed,Jan,,F
2010.12.26,2010,Unprovoked,usa,16,6' shark,Dec,N,M
2010.12.05,2010,Unprovoked,egypt,70,"Oceanic whitetip shark, 2.5m ",Dec,Y,F
2010.12.01.b,2010,Unprovoked,egypt,54,Mako shark ,Dec,N,M
2010.12.01.a,2010,Unprovoked,egypt,46,Mako shark,Dec,N,M
2010.11.30.b,2010,Unprovoked,egypt,70,"Oceanic whitetip shark, 2.5m, female",Nov,N,F
2010.11.30.a,2010,Unprovoked,egypt,48,"Oceanic whitetip shark, 2.5m, female",Nov,N,F
2010.10.30,2010,Unprovoked,australia,20,White shark,Oct,N,F
2010.10.23.b,2010,Unprovoked,usa,30,"Porbeagle shark, 8' ",Oct,N,M
2010.10.22,2010,Unprovoked,usa,19,"White shark, 14' to 18' ",Oct,Y,M
2010.10.09,2010,Unprovoked,australia,22,"Bull shark, 1.4m ",Oct,N,M
2010.09.27,2010,Unprovoked,usa,29,White shark,Sep,N,M
2010.09.13,2010,Unprovoked,australia,15,2m shark,Sep,N,M
2010.08.17,2010,Unprovoked,australia,31,White shark,Aug,Y,M
2010.08.02.a,2010,Unprovoked,usa,37,3' to 4' shark,Aug,N,F
2010.07.19,2010,Unprovoked,usa,10,Possibly a small blacktip shark,Jul,N,M
2010.07.17.b,2010,Unprovoked,usa,13,"Sandtiger shark, 4' to 5'",Jul,N,F
2010.07.16.b,2010,Provoked,spain,9,Angel shark,Jul,N,M
2010.07.03,2010,Provoked,usa,20,"Blue shark, 7'",Jul,N,M
2010.07.02.b,2010,Unprovoked,usa,19,4' shark,Jul,N,M
2010.07.02.a,2010,Unprovoked,usa,48,8' shark,Jul,N,M
2010.06.15,2010,Unprovoked,vietnam,17,1 m shark,Jun,N,M
2010.06.10,2010,Unprovoked,usa,18,4' shark,Jun,N,F
2010.05.30,2010,Provoked,usa,49,"Lemon shark, 4'",May,N,M
2010.05.18.c,2010,Unprovoked,vietnam,58,20 to 30kg shark,May,N,F
2010.05.18.b,2010,Unprovoked,vietnam,60,20 to 30kg shark,May,N,F
2010.05.01,2010,Unprovoked,usa,10,4' shark,May,N,F
2010.04.28,2010,Provoked,usa,29,"Lemon shark, 6'",Apr,N,M
2010.04.19,2010,Unprovoked,usa,68,14' shark,Apr,N,M
2010.04.13,2010,Unprovoked,south africa,35,2 m shark,Apr,N,M
2010.04.04,2010,Unprovoked,egypt,24,"Oceanic whitetip shark, 6'",Apr,N,M
2010.03.27,2010,Unprovoked,reunion,34,1.5 m shark,Mar,N,M
2010.02.13,2010,Unprovoked,australia,60,2 m shark,Feb,N,F
2010.02.11,2010,Unprovoked,australia,46,"Wobbegong shark, 1.6m",Feb,N,M
2010.02.06.b,2010,Unprovoked,australia,18,"White shark, 2.5m",Feb,N,M
2010.02.04,2010,Invalid,guam,31,Invalid,Feb,,M
2010.02.01,2010,Provoked,new zealand,14,1.5 m shark,Feb,N,F
2010.01.12,2010,Unprovoked,south africa,37,White shark,Jan,Y,M
2009.12.22,2009,Unprovoked,mozambique,27,"Zambesi shark, 2m ",Dec,N,M
2009.12.20.a,2009,Unprovoked,australia,18,"Bull shark, 3m",Dec,N,M
2009.12.06,2009,Provoked,usa,58,"Sandtiger shark, 8'",Dec,N,M
2009.11.25,2009,Invalid,usa,49,Shark involvement not confirmed,Nov,,M
2009.11.24,2009,Unprovoked,usa,10,6' shark,Nov,N,M
2009.11.16.b,2009,Unprovoked,usa,31,Thresher shark,Nov,N,M
2009.11.11,2009,Unprovoked,usa,18,4' shark,Nov,N,M
2009.11.08,2009,Unprovoked,australia,25,2 m shark,Nov,N,M
2009.10.30,2009,Boating,australia,27,"White shark, 4m",Oct,N,M
2009.10.19,2009,Unprovoked,usa,54,6' to 8' shark,Oct,N,M
2009.10.17,2009,Provoked,scotland,23,Angel shark,Oct,N,M
2009.10.02,2009,Provoked,united kingdom,39,Spurdog,Oct,N,M
2009.09.12,2009,Invalid,usa,60,Shark involvement prior to death not confirmed,Sep,Y,M
2009.08.29,2009,Unprovoked,south africa,25,White shark,Aug,Y,M
2009.08.25,2009,Unprovoked,usa,22,"White shark, 5' to 6' juvenile ",Aug,N,F
2009.08.01,2009,Unprovoked,usa,56,Bull shark?,Aug,N,M
2009.07.04,2009,Provoked,usa,43,"Nurse shark, 6'",Jul,N,F
2009.06.27,2009,Unprovoked,australia,52,"Thought to involve a Bronze whale shark, 2m",Jun,N,M
2009.06.16,2009,Invalid,usa,14,"Shark involvement probable, but not confirmed",Jun,,M
2009.06.01,2009,Unprovoked,egypt,50,"Oceanic whitetip shark, 2.5 to 3m",Jun,Y,F
2009.05.31,2009,Provoked,taiwan,46,80 kg shark,May,N,M
2009.05.17,2009,Unprovoked,usa,31,blacktip or spinner shark,May,N,M
2009.05.16.b,2009,Unprovoked,usa,49,blacktip or spinner shark,May,N,M
2009.05.16.a,2009,Unprovoked,usa,55,blacktip or spinner shark,May,N,M
2009.05.12,2009,Provoked,guam,27,"Blacktip shark, 4'",May,N,M
2009.04.17.,2009,Unprovoked,usa,31,2' to 3' shark,Apr,N,M
2009.04.12,2009,Unprovoked,australia,40,2' to 3' shark,Apr,N,M
2009.04.06.b,2009,Invalid,south africa,24,Shark involvement not confirmed,Apr,,M
2009.03.20,2009,Unprovoked,australia,17,Bronze whaler shark?,Mar,N,M
2009.03.18.a,2009,Unprovoked,usa,17,3' to 4' shark,Mar,N,F
2009.03.17,2009,Unprovoked,usa,61,Thought to involve a cookie cutter shark,Mar,N,M
2009.03.02,2009,Provoked,south africa,40,"Blue shark, 1m",Mar,N,M
2009.03.01.a,2009,Unprovoked,australia,15,2.6 m shark,Mar,N,M
2009.02.12,2009,Unprovoked,australia,33,"White shark, 2.5m ",Feb,N,M
2009.02.11,2009,Unprovoked,australia,31,"Bull shark, 2.7 m ",Feb,N,M
2009.02.07.b,2009,Unprovoked,australia,41,"White shark, 12' ",Feb,N,M
2009.01.25,2009,Unprovoked,cuba,15,Bull shark,Jan,N,M
2009.01.24.a,2009,Unprovoked,south africa,25,Tiger shark,Jan,Y,M
2009.01.12,2009,Unprovoked,australia,24,"Dusky shark, 2m",Jan,N,M
2009.01.11.b,2009,Unprovoked,australia,13,"White shark, 5m",Jan,N,F
2009.01.11.a,2009,Unprovoked,australia,31,"White shark, 3.5m",Jan,N,M
2009.01.06,2009,Unprovoked,new zealand,49,Broadnose sevengill shark,Jan,N,M
2008.12.27.b,2008,Boating,australia,29,"White shark, 4m to 5m ",Dec,N,M
2008.12.27.a,2008,Unprovoked,australia,51,4 to 5m white shark,Dec,Y,M
2008.12.10,2008,Provoked,south africa,15,"Raggedtooth shark, 2m",Dec,N,M
2008.10.22,2008,Provoked,australia,34,"Grey nurse shark, 3m",Oct,N,M
2008.10.06,2008,Unprovoked,croatia,43,5 m white shark,Oct,N,M
2008.09.28.a,2008,Unprovoked,usa,40,+3' shark,Sep,N,M
2008.09.15,2008,Provoked,australia,43,Bronze whaler shark,Sep,N,M
2008.09.09,2008,Unprovoked,usa,40,Tiger shark,Sep,N,M
2008.09.07,2008,Unprovoked,australia,51,3 m shark,Sep,N,M
2008.09.01,2008,Unprovoked,usa,52,4' shark,Sep,N,M
2008.08.30.b,2008,Invalid,usa,27,Shark involvement not confirmed,Aug,,M
2008.08.27,2008,Unprovoked,usa,26,6' shark,Aug,N,M
2008.08.22,2008,Invalid,usa,20,Shark involvement not confirmed,Aug,,F
2008.08.16,2008,Unprovoked,usa,38,8' bull shark or Caribbean reef shark,Aug,N,F
2008.07.30.R,2008,Unprovoked,australia,31,8' white shark or 7-gill shark,Jul,N,M
2008.07.24.a,2008,Unprovoked,usa,8,3' to 4' shark,Jul,N,F
2008.07.19,2008,Unprovoked,usa,16,4' shark,Jul,N,M
2008.06.28.c,2008,Invalid,usa,53,Shark involvement prior to death not confirmed,Jun,,M
2008.06.28.a,2008,Unprovoked,south africa,46,"White shark, 2m",Jun,N,M
2008.06.26.a,2008,Unprovoked,usa,37,4.5 to 5' shark,Jun,N,M
2008.06.21,2008,Boating,usa,40,"White shark, 15'",Jun,N,F
2008.06.01.b,2008,Unprovoked,usa,15,5' shark,Jun,N,F
2008.06.01.a,2008,Unprovoked,brazil,14,Bull shark,Jun,N,M
2008.05.24.a,2008,Unprovoked,mexico,49,3 m shark,May,N,M
2008.05.10,2008,Unprovoked,australia,37,"White shark, 4m",May,N,M
2008.05.07.b,2008,Unprovoked,new caledonia,40,2 small bull sharks,May,N,M
2008.04.28.b,2008,Unprovoked,mexico,24,Tiger shark,Apr,Y,M
2008.04.28.a,2008,Unprovoked,usa,18,4' shark,Apr,N,M
2008.04.26.b,2008,Unprovoked,new caledonia,32,"Bull shark, 1.8m",Apr,N,M
2008.04.25,2008,Unprovoked,usa,66,"White shark, 12' to 15'",Apr,Y,M
2008.04.18,2008,Invalid,mexico,32,"Reported by media as shark attack, but shark involvement prior to death was not confirmed",Apr,,M
2008.04.17,2008,Invalid,australia,19,Shark involvement not confirmed; thought to be a barracuda bite,Apr,,M
2008.04.15,2008,Unprovoked,usa,30,1.5' to 2' shark,Apr,N,M
2008.04.08,2008,Unprovoked,australia,16,Bull shark,Apr,Y,M
2008.03.28.b,2008,Unprovoked,usa,52,4' to 5' shark,Mar,N,M
2008.03.23,2008,Unprovoked,usa,13,2.5' shark,Mar,N,M
2008.03.15,2008,Unprovoked,usa,8,Shark involvement not confirmed,Mar,N,M
2008.03.07,2008,Unprovoked,usa,27,White shark,Mar,N,M
2008.02.24,2008,Unprovoked,bahamas,49,"A bull shark, according to some of the divers on the boat",Feb,Y,M
2008.01.27,2008,Provoked,australia,20,"Mako shark, 90kg",Jan,N,M
2007.12.18,2007,Unprovoked,australia,31,2 m shark,Dec,N,M
2007.12.14,2007,Invalid,australia,34,Not a shark attack; it was a hoax,Dec,,M
2007.12.10,2007,Unprovoked,usa,52,Tiger shark,Dec,N,M
2007.11.07,2007,Unprovoked,south africa,14,1.5 to 2 m shark,Nov,N,M
2007.11.06,2007,Unprovoked,usa,21,4' to 5' shark,Nov,N,M
2007.11.04,2007,Unprovoked,usa,42,5' shark,Nov,N,M
2007.11.03,2007,Unprovoked,south africa,37,"White shark, 3m to 4m",Nov,N,M
2007.10.29,2007,Unprovoked,usa,32,Tiger shark,Oct,N,M
2007.10.15,2007,Unprovoked,australia,52,"White shark, 2.5m ",Oct,N,F
2007.10.13,2007,Unprovoked,australia,31,Bronze whaler shark,Oct,N,M
2007.10.07,2007,Unprovoked,usa,22,3' to 4' shark,Oct,N,M
2007.10.06,2007,Unprovoked,usa,16,"Blacktip shark, 5'",Oct,N,M
2007.09.30.a,2007,Unprovoked,new caledonia,23,Tiger shark,Sep,Y,F
2007.09.28,2007,Unprovoked,bahamas,48,Caribbean reef shark,Sep,N,F
2007.09.27.a,2007,Unprovoked,egypt,18 or 20,Oceanic whitetip sharks were in the vicinity,Sep,N,F
2007.09.20,2007,Unprovoked,usa,23,3' shark,Sep,N,M
2007.09.16.a,2007,Unprovoked,usa,Teen,9.5' shark?,Sep,N,F
2007.09.13,2007,Unprovoked,usa,14,"Nurse shark, 2' to 3' ",Sep,N,M
2007.09.03.b,2007,Unprovoked,usa,12,"18"" to 24"" shark",Sep,N,F
2007.09.03.a,2007,Unprovoked,usa,58,Possibly a spinner shark,Sep,N,M
2007.08.28.b,2007,Unprovoked,usa,15,"Tiger shark, 10' to 12' ",Aug,N,M
2007.08.28.a,2007,Unprovoked,usa,24,"White shark, 12'",Aug,N,M
2007.08.26,2007,Unprovoked,usa,54,3' shark,Aug,N,M
2007.08.25,2007,Unprovoked,usa,27,3' shark,Aug,N,M
2007.08.19.b,2007,Unprovoked,usa,16,4' to 5' shark,Aug,N,M
2007.08.15,2007,Unprovoked,usa,20,Possibly a 6' bull shark,Aug,N,M
2007.08.12,2007,Unprovoked,usa,15, ,Aug,N,F
2007.08.07,2007,Unprovoked,usa,19,Possibly a 10' bull shark,Aug,N,F
2007.07.19.b,2007,Unprovoked,usa,36, ,Jul,N,M
2007.07.19.a,2007,Unprovoked,australia,15,"Bronze whaler shark, 1.5 m ",Jul,N,M
2007.07.18.b,2007,Unprovoked,usa,14,2' to 3' shark,Jul,N,M
2007.07.17.b,2007,Invalid,usa,43,Shark involvement not confirmed,Jul,,F
2007.07.17.a,2007,Unprovoked,usa,30,5' shark,Jul,N,F
2007.07.10,2007,Unprovoked,bahamas,48,"Bull shark, 5' ",Jul,N,F
2007.06.25,2007,Unprovoked,usa,20,4' shark,Jun,N,M
2007.06.17,2007,Invalid,usa,9,Shark involvement not confirmed,Jun,,F
2007.05.24,2007,Provoked,usa,40,A 10-year-old 94-pound pregnant blacktip reef shark,May,N,F
2007.05.17.R,2007,Provoked,england,38,"Lesser spotted dogfish, Scyliorhinus canicula, less than 80 cm in length",May,N,M
2007.05.16,2007,Unprovoked,australia,38,2.5 m shark,May,N,F
2007.05.12,2007,Unprovoked,australia,19,10' shark,May,N,M
2007.05.10,2007,Unprovoked,usa,21,4' to 5' shark,May,N,F
2007.05.08,2007,Invalid,australia,45,Shark involvement prior to death was not confirmed,May,,M
2007.05.07.b,2007,Unprovoked,usa,63,"Tiger shark, 14' ",May,N,F
2007.05.07.a,2007,Unprovoked,usa,68,6' to 8' shark,May,N,M
2007.04.26,2007,Unprovoked,australia,13,"""a small shark""",Apr,N,F
2007.04.22,2007,Unprovoked,usa,12,blacktip or spinner shark,Apr,N,M
2007.04.20,2007,Unprovoked,usa,24,3' to 4' shark,Apr,N,M
2007.04.09,2007,Unprovoked,new caledonia,26,Tiger shark,Apr,N,M
2007.03.31.b,2007,Unprovoked,usa,27,3' shark,Mar,N,M
2007.03.21,2007,Unprovoked,usa,11,4' to 5' shark,Mar,N,M
2007.03.20,2007,Unprovoked,australia,42,1.5 m shark,Mar,N,F
2007.03.12,2007,Unprovoked,australia,59,2 to 2.5 m shark,Mar,N,F
2007.01.25.b,2007,Unprovoked,new caledonia,30,Tiger shark,Jan,N,M
2007.01.23,2007,Unprovoked,australia,41,"White shark, 3m",Jan,N,M
2007.01.14,2007,Unprovoked,south africa,24,Tiger shark,Jan,Y,M
2007.01.07,2007,Invalid,usa,54,"24"" to 30"" shark",Jan,,M
2007.01.05,2007,Unprovoked,usa,24,"6' to 8' shark, possibly a tiger shark",Jan,N,M
2006.12.18,2006,Unprovoked,australia,25,2.5 to 3 m shark,Dec,N,M
2006.12.11,2006,Unprovoked,new zealand,10,2 to 3 m shark,Dec,N,M
2006.12.10,2006,Unprovoked,usa,43,"White shark, 12' to 15' ",Dec,N,M
2006.12.06,2006,Provoked,south africa,25,"Raggedtooth shark, 150-kg",Dec,N,M
2006.12.02,2006,Unprovoked,australia,15,"White shark, 5m ",Dec,N,M
2006.11.11,2006,Unprovoked,usa,29,2 m to 3 m shark,Nov,N,M
2006.10.31,2006,Unprovoked,usa,22,"White shark, 16' ",Oct,N,M
2006.10.05,2006,Unprovoked,usa,18,3' to 3.5' shark,Oct,N,M
2006.09.14,2006,Unprovoked,usa,55,Spinner shark,Sep,N,M
2006.09.04,2006,Invalid,australia,44,No shark involvement,Sep,,M
2006.09.03.a,2006,Unprovoked,usa,33,3' shark,Sep,N,M
2006.08.13,2006,Unprovoked,south africa,24,White shark,Aug,N,M
2006.07.31.a,2006,Unprovoked,usa,41,White shark?,Jul,N,M
2006.07.28,2006,Unprovoked,south africa,19,"White shark, 3m to 4m",Jul,N,M
2006.07.25,2006,Unprovoked,usa,14, ,Jul,N,M
2006.07.17,2006,Unprovoked,usa,49,"Angel shark, 1.2m ",Jul,N,M
2006.07.08.b,2006,Unprovoked,usa,14,5' to 6' spinner or bull shark,Jul,N,F
2006.06.20,2006,Unprovoked,usa,22,Possibly a 1' to 3' blacktip or spinner shark,Jun,N,F
2006.06.15,2006,Unprovoked,usa,24,2' to 3' shark,Jun,N,M
2006.06.07,2006,Unprovoked,usa,7,3' to 4' shark,Jun,N,F
2006.06.05,2006,Unprovoked,australia,40,14' white shark,Jun,N,M
2006.05.31,2006,Unprovoked,usa,26,"Tiger shark, 8' to 12'",May,N,M
2006.05.24,2006,Provoked,usa,15,"Grey reef shark, 5' to 8' ",May,N,M
2006.05.19,2006,Unprovoked,usa,30s,"Tiger shark, 10' to 12'",May,N,F
2006.05.02,2006,Provoked,australia,46,"Wobbegong shark, 2 m ",May,N,M
2006.04.13,2006,Provoked,usa,35,"Bull shark, 4' to bull shark",Apr,N,M
2006.04.11,2006,Unprovoked,australia,15,"Bronze whaler shark, a  juvenile ",Apr,N,M
2006.04.09.b,2006,Unprovoked,south africa,15,"Raggedtooth shark, 2.5 m to 3 m ",Apr,N,M
2006.04.09.a,2006,Unprovoked,brazil,35,Tiger shark,Apr,N,M
2006.03.23,2006,Unprovoked,usa,28,"Tiger shark, 10'  ",Mar,N,F
2006.03.19,2006,Unprovoked,fiji,21,"Tiger shark, 5' ",Mar,N,M
2006.03.15,2006,Unprovoked,australia,15,"Bronze whaler shark, 2 m",Mar,N,M
2006.02.27,2006,Unprovoked,usa,15,5' to 7' shark,Feb,N,F
2006.02.23,2006,Invalid,usa,45,Invalid,Feb,,M
2006.02.08,2006,Unprovoked,south africa,15,Raggedtooth shark,Feb,N,M
2006.02.01.b,2006,Unprovoked,tonga,24,Tiger shark,Feb,Y,F
2006.02.01.a,2006,Boating,usa,57,12' to 18' shark,Feb,N,M
2006.01.15,2006,Unprovoked,australia,52,3.5 m white shark,Jan,N,M
2006.01.07,2006,Unprovoked,australia,21,Bull shark,Jan,Y,F
2006.01.04,2006,Unprovoked,usa,21,4' shark,Jan,N,M
2005.12.24,2005,Unprovoked,usa,30,White shark,Dec,N,M
2005.12.21,2005,Unprovoked,usa,29,Tiger shark,Dec,N,M
2005.12.11,2005,Unprovoked,australia,44,Whitetip reef shark,Dec,N,M
2005.11.27,2005,Unprovoked,usa,23,4' shark,Nov,N,M
2005.11.25.b,2005,Unprovoked,australia,18,1.8 m shark,Nov,N,M
2005.11.21,2005,Unprovoked,usa,30s,4' shark,Nov,N,M
2005.11.15,2005,Provoked,south africa,32,"Raggedtooth shark, 2.5m ",Nov,N,M
2005.11.12,2005,Unprovoked,usa,18,6' shark,Nov,N,M
2005.11.02.a,2005,Unprovoked,usa,26,12' to 14' white shark,Nov,N,M
2005.10.25,2005,Unprovoked,st. maartin,55,2' shark,Oct,N,M
2005.10.22,2005,Unprovoked,south africa,20,3 m shark,Oct,N,M
2005.10.21,2005,Unprovoked,usa,36,White shark,Oct,N,M
2005.10.19,2005,Unprovoked,usa,20,18' white shark,Oct,N,F
2005.10.13,2005,Unprovoked,usa,22,"Tiger shark, less than 10'",Oct,N,M
2005.10.11,2005,Unprovoked,grand cayman,57,Caribbean reef sharks,Oct,N,F
2005.10.01,2005,Unprovoked,south africa,52,White shark,Oct,N,M
2005.09.24,2005,Unprovoked,australia,26,14' to 16' white shark,Sep,N,M
