year,type,country,age,species_,month,fatal,sex,age_clean
2012,Unprovoked,australia,33,"White shark, 4m ",Mar,Y,M,33
2012,Unprovoked,australia,20,Possibly a bull shark,Mar,N,M,20
2012,Unprovoked,usa,61,Possibly a 5' to 6' bull shark,Mar,N,M,61
2012,Unprovoked,usa,15,4' to 5' shark,Mar,N,F,15
2012,Unprovoked,usa,17,4' to 5' shark,Mar,N,M,17
2012,Provoked,australia,34,"Tawny nurse shark, 40cm",Mar,N,F,34
2012,Unprovoked,usa,19,4' shark,Mar,N,M,19
2012,Unprovoked,australia,26,"Tiger shark, 3m",Jan,N,M,26
2012,Unprovoked,australia,44,"White shark, 2.7 m",Jan,N,M,44
2012,Unprovoked,south africa,25,Thought to involve a bull shark,Jan,Y,M,25
2012,Unprovoked,australia,28,2 m shark,Jan,N,M,28
2012,Unprovoked,australia,34,Allegedly a 4 m tiger shark,Jan,N,M,34
2011,Unprovoked,australia,51,"White shark, 2.5m",Dec,N,M,51
2011,Unprovoked,australia,10,Wobbegong shark?,Nov,N,M,10
2011,Unprovoked,australia,32,"White shark, 10'",Oct,Y,M,32
2011,Unprovoked,australia,50,"Port Jackson shark, 1m",Oct,N,M,50
2011,Invalid,usa,27,No shark involvement,Sep,,M,27
2011,Unprovoked,south africa,43,White shark,Sep,N,M,43
2011,Unprovoked,usa,21,"Bull shark, 6'",Sep,N,M,21
2011,Unprovoked,usa,25,4' to 6' shark,Sep,N,M,25
2011,Unprovoked,papua new guinea,30,"Tiger shark, 2m",Sep,N,M,30
2011,Unprovoked,australia,21,White shark,Sep,Y,M,21
2011,Unprovoked,usa,19,"6' shark, possibly a blactip or spinner shark",Sep,N,M,19
2011,Unprovoked,usa,19,6' shark,Aug,N,M,19
2011,Invalid,australia,48,Shark involvement prior to death not confirmed,Aug,,M,48
2011,Unprovoked,south africa,49,"White shark, >6'",Aug,Y,M,49
2011,Unprovoked,usa,20s,Possibly a 5' to 6' sandtiger shark,Aug,N,F,
2011,Unprovoked,russia,25,4 m shark,Aug,N,M,25
2011,Unprovoked,french polynesia,32,Grey reef shark ,Aug,N,M,32
2011,Unprovoked,seychelles,30,"Bull shark, 6'",Aug,Y,M,30
2011,Unprovoked,south africa,29,"White shark, 3m to 4m",Jul,N,M,29
2011,Unprovoked,south africa,22,"Bull shark, 3m female",Jun,N,M,22
2011,Unprovoked,usa,10,"Bull shark, 6'",Jun,N,F,10
2011,Unprovoked,usa,28,"Blacktip shark, 4'",Jun,N,M,28
2011,Unprovoked,usa,19,3' to 4' shark,Jun,N,M,19
2011,Unprovoked,south africa,28,Zambesi shark,May,Y,M,28
2011,Unprovoked,new caledonia,15," Tiger shark, 2.8m",May,Y,M,15
2011,Unprovoked,australia,17,"reef shark, 1.5m",Apr,N,M,17
2011,Unprovoked,usa,49,1' to 2' shark,Apr,N,M,49
2011,Unprovoked,new zealand,41,possibly a bronze whaler shark,Apr,N,M,41
2011,Unprovoked,australia,48,"Bull shark, 2.5m",Mar,N,M,48
2011,Unprovoked,australia,24,3 m to 4 m shark,Mar,N,F,24
2011,Provoked,australia,36,"Bull shark, 2m",Feb,N,M,36
2011,Unprovoked,new caledonia,21,1.5 m shark,Feb,N,M,21
2011,Unprovoked,australia,49,White shark x 2,Feb,Y,M,49
2011,Unprovoked,mexico,38,6' shark,Jan,N,F,38
2011,Unprovoked,bahamas,55,Caribbean reef shark,Jan,N,M,55
2011,Invalid,australia,7,Shark involvement not confirmed,Jan,,F,7
2010,Unprovoked,usa,16,6' shark,Dec,N,M,16
2010,Unprovoked,egypt,70,"Oceanic whitetip shark, 2.5m ",Dec,Y,F,70
2010,Unprovoked,egypt,54,Mako shark ,Dec,N,M,54
2010,Unprovoked,egypt,46,Mako shark,Dec,N,M,46
2010,Unprovoked,egypt,70,"Oceanic whitetip shark, 2.5m, female",Nov,N,F,70
2010,Unprovoked,egypt,48,"Oceanic whitetip shark, 2.5m, female",Nov,N,F,48
2010,Unprovoked,australia,20,White shark,Oct,N,F,20
2010,Unprovoked,usa,30,"Porbeagle shark, 8' ",Oct,N,M,30
2010,Unprovoked,usa,19,"White shark, 14' to 18' ",Oct,Y,M,19
2010,Unprovoked,australia,22,"Bull shark, 1.4m ",Oct,N,M,22
2010,Unprovoked,usa,29,White shark,Sep,N,M,29
2010,Unprovoked,australia,15,2m shark,Sep,N,M,15
2010,Unprovoked,australia,31,White shark,Aug,Y,M,31
2010,Unprovoked,usa,37,3' to 4' shark,Aug,N,F,37
2010,Unprovoked,usa,10,Possibly a small blacktip shark,Jul,N,M,10
2010,Unprovoked,usa,13,"Sandtiger shark, 4' to 5'",Jul,N,F,13
2010,Provoked,spain,9,Angel shark,Jul,N,M,9
2010,Provoked,usa,20,"Blue shark, 7'",Jul,N,M,20
2010,Unprovoked,usa,19,4' shark,Jul,N,M,19
2010,Unprovoked,usa,48,8' shark,Jul,N,M,48
2010,Unprovoked,vietnam,17,1 m shark,Jun,N,M,17
2010,Unprovoked,usa,18,4' shark,Jun,N,F,18
2010,Provoked,usa,49,"Lemon shark, 4'",May,N,M,49
2010,Unprovoked,vietnam,58,20 to 30kg shark,May,N,F,58
2010,Unprovoked,vietnam,60,20 to 30kg shark,May,N,F,60
2010,Unprovoked,usa,10,4' shark,May,N,F,10
2010,Provoked,usa,29,"Lemon shark, 6'",Apr,N,M,29
2010,Unprovoked,usa,68,14' shark,Apr,N,M,68
2010,Unprovoked,south africa,35,2 m shark,Apr,N,M,35
2010,Unprovoked,egypt,24,"Oceanic whitetip shark, 6'",Apr,N,M,24
2010,Unprovoked,reunion,34,1.5 m shark,Mar,N,M,34
2010,Unprovoked,australia,60,2 m shark,Feb,N,F,60
2010,Unprovoked,australia,46,"Wobbegong shark, 1.6m",Feb,N,M,46
2010,Unprovoked,australia,18,"White shark, 2.5m",Feb,N,M,18
2010,Invalid,guam,31,Invalid,Feb,,M,31
2010,Provoked,new zealand,14,1.5 m shark,Feb,N,F,14
2010,Unprovoked,south africa,37,White shark,Jan,Y,M,37
2009,Unprovoked,mozambique,27,"Zambesi shark, 2m ",Dec,N,M,27
2009,Unprovoked,australia,18,"Bull shark, 3m",Dec,N,M,18
2009,Provoked,usa,58,"Sandtiger shark, 8'",Dec,N,M,58
2009,Invalid,usa,49,Shark involvement not confirmed,Nov,,M,49
2009,Unprovoked,usa,10,6' shark,Nov,N,M,10
2009,Unprovoked,usa,31,Thresher shark,Nov,N,M,31
2009,Unprovoked,usa,18,4' shark,Nov,N,M,18
2009,Unprovoked,australia,25,2 m shark,Nov,N,M,25
2009,Boating,australia,27,"White shark, 4m",Oct,N,M,27
2009,Unprovoked,usa,54,6' to 8' shark,Oct,N,M,54
2009,Provoked,scotland,23,Angel shark,Oct,N,M,23
2009,Provoked,united kingdom,39,Spurdog,Oct,N,M,39
2009,Invalid,usa,60,Shark involvement prior to death not confirmed,Sep,Y,M,60
2009,Unprovoked,south africa,25,White shark,Aug,Y,M,25
2009,Unprovoked,usa,22,"White shark, 5' to 6' juvenile ",Aug,N,F,22
2009,Unprovoked,usa,56,Bull shark?,Aug,N,M,56
2009,Provoked,usa,43,"Nurse shark, 6'",Jul,N,F,43
2009,Unprovoked,australia,52,"Thought to involve a Bronze whale shark, 2m",Jun,N,M,52
2009,Invalid,usa,14,"Shark involvement probable, but not confirmed",Jun,,M,14
2009,Unprovoked,egypt,50,"Oceanic whitetip shark, 2.5 to 3m",Jun,Y,F,50
2009,Provoked,taiwan,46,80 kg shark,May,N,M,46
2009,Unprovoked,usa,31,blacktip or spinner shark,May,N,M,31
2009,Unprovoked,usa,49,blacktip or spinner shark,May,N,M,49
2009,Unprovoked,usa,55,blacktip or spinner shark,May,N,M,55
2009,Provoked,guam,27,"Blacktip shark, 4'",May,N,M,27
2009,Unprovoked,usa,31,2' to 3' shark,Apr,N,M,31
2009,Unprovoked,australia,40,2' to 3' shark,Apr,N,M,40
2009,Invalid,south africa,24,Shark involvement not confirmed,Apr,,M,24
2009,Unprovoked,australia,17,Bronze whaler shark?,Mar,N,M,17
2009,Unprovoked,usa,17,3' to 4' shark,Mar,N,F,17
2009,Unprovoked,usa,61,Thought to involve a cookie cutter shark,Mar,N,M,61
2009,Provoked,south africa,40,"Blue shark, 1m",Mar,N,M,40
2009,Unprovoked,australia,15,2.6 m shark,Mar,N,M,15
2009,Unprovoked,australia,33,"White shark, 2.5m ",Feb,N,M,33
2009,Unprovoked,australia,31,"Bull shark, 2.7 m ",Feb,N,M,31
2009,Unprovoked,australia,41,"White shark, 12' ",Feb,N,M,41
2009,Unprovoked,cuba,15,Bull shark,Jan,N,M,15
2009,Unprovoked,south africa,25,Tiger shark,Jan,Y,M,25
2009,Unprovoked,australia,24,"Dusky shark, 2m",Jan,N,M,24
2009,Unprovoked,australia,13,"White shark, 5m",Jan,N,F,13
2009,Unprovoked,australia,31,"White shark, 3.5m",Jan,N,M,31
2009,Unprovoked,new zealand,49,Broadnose sevengill shark,Jan,N,M,49
2008,Boating,australia,29,"White shark, 4m to 5m ",Dec,N,M,29
2008,Unprovoked,australia,51,4 to 5m white shark,Dec,Y,M,51
2008,Provoked,south africa,15,"Raggedtooth shark, 2m",Dec,N,M,15
2008,Provoked,australia,34,"Grey nurse shark, 3m",Oct,N,M,34
2008,Unprovoked,croatia,43,5 m white shark,Oct,N,M,43
2008,Unprovoked,usa,40,+3' shark,Sep,N,M,40
2008,Provoked,australia,43,Bronze whaler shark,Sep,N,M,43
2008,Unprovoked,usa,40,Tiger shark,Sep,N,M,40
2008,Unprovoked,australia,51,3 m shark,Sep,N,M,51
2008,Unprovoked,usa,52,4' shark,Sep,N,M,52
2008,Invalid,usa,27,Shark involvement not confirmed,Aug,,M,27
2008,Unprovoked,usa,26,6' shark,Aug,N,M,26
2008,Invalid,usa,20,Shark involvement not confirmed,Aug,,F,20
2008,Unprovoked,usa,38,8' bull shark or Caribbean reef shark,Aug,N,F,38
2008,Unprovoked,australia,31,8' white shark or 7-gill shark,Jul,N,M,31
2008,Unprovoked,usa,8,3' to 4' shark,Jul,N,F,8
2008,Unprovoked,usa,16,4' shark,Jul,N,M,16
2008,Invalid,usa,53,Shark involvement prior to death not confirmed,Jun,,M,53
2008,Unprovoked,south africa,46,"White shark, 2m",Jun,N,M,46
2008,Unprovoked,usa,37,4.5 to 5' shark,Jun,N,M,37
2008,Boating,usa,40,"White shark, 15'",Jun,N,F,40
2008,Unprovoked,usa,15,5' shark,Jun,N,F,15
2008,Unprovoked,brazil,14,Bull shark,Jun,N,M,14
2008,Unprovoked,mexico,49,3 m shark,May,N,M,49
2008,Unprovoked,australia,37,"White shark, 4m",May,N,M,37
2008,Unprovoked,new caledonia,40,2 small bull sharks,May,N,M,40
2008,Unprovoked,mexico,24,Tiger shark,Apr,Y,M,24
2008,Unprovoked,usa,18,4' shark,Apr,N,M,18
2008,Unprovoked,new caledonia,32,"Bull shark, 1.8m",Apr,N,M,32
2008,Unprovoked,usa,66,"White shark, 12' to 15'",Apr,Y,M,66
2008,Invalid,mexico,32,"Reported by media as shark attack, but shark involvement prior to death was not confirmed",Apr,,M,32
2008,Invalid,australia,19,Shark involvement not confirmed; thought to be a barracuda bite,Apr,,M,19
2008,Unprovoked,usa,30,1.5' to 2' shark,Apr,N,M,30
2008,Unprovoked,australia,16,Bull shark,Apr,Y,M,16
2008,Unprovoked,usa,52,4' to 5' shark,Mar,N,M,52
2008,Unprovoked,usa,13,2.5' shark,Mar,N,M,13
2008,Unprovoked,usa,8,Shark involvement not confirmed,Mar,N,M,8
2008,Unprovoked,usa,27,White shark,Mar,N,M,27
2008,Unprovoked,bahamas,49,"A bull shark, according to some of the divers on the boat",Feb,Y,M,49
2008,Provoked,australia,20,"Mako shark, 90kg",Jan,N,M,20
2007,Unprovoked,australia,31,2 m shark,Dec,N,M,31
2007,Invalid,australia,34,Not a shark attack; it was a hoax,Dec,,M,34
2007,Unprovoked,usa,52,Tiger shark,Dec,N,M,52
2007,Unprovoked,south africa,14,1.5 to 2 m shark,Nov,N,M,14
2007,Unprovoked,usa,21,4' to 5' shark,Nov,N,M,21
2007,Unprovoked,usa,42,5' shark,Nov,N,M,42
2007,Unprovoked,south africa,37,"White shark, 3m to 4m",Nov,N,M,37
2007,Unprovoked,usa,32,Tiger shark,Oct,N,M,32
2007,Unprovoked,australia,52,"White shark, 2.5m ",Oct,N,F,52
2007,Unprovoked,australia,31,Bronze whaler shark,Oct,N,M,31
2007,Unprovoked,usa,22,3' to 4' shark,Oct,N,M,22
2007,Unprovoked,usa,16,"Blacktip shark, 5'",Oct,N,M,16
2007,Unprovoked,new caledonia,23,Tiger shark,Sep,Y,F,23
2007,Unprovoked,bahamas,48,Caribbean reef shark,Sep,N,F,48
2007,Unprovoked,egypt,18 or 20,Oceanic whitetip sharks were in the vicinity,Sep,N,F,18
2007,Unprovoked,usa,23,3' shark,Sep,N,M,23
2007,Unprovoked,usa,Teen,9.5' shark?,Sep,N,F,
2007,Unprovoked,usa,14,"Nurse shark, 2' to 3' ",Sep,N,M,14
2007,Unprovoked,usa,12,"18"" to 24"" shark",Sep,N,F,12
2007,Unprovoked,usa,58,Possibly a spinner shark,Sep,N,M,58
2007,Unprovoked,usa,15,"Tiger shark, 10' to 12' ",Aug,N,M,15
2007,Unprovoked,usa,24,"White shark, 12'",Aug,N,M,24
2007,Unprovoked,usa,54,3' shark,Aug,N,M,54
2007,Unprovoked,usa,27,3' shark,Aug,N,M,27
2007,Unprovoked,usa,16,4' to 5' shark,Aug,N,M,16
2007,Unprovoked,usa,20,Possibly a 6' bull shark,Aug,N,M,20
2007,Unprovoked,usa,15, ,Aug,N,F,15
2007,Unprovoked,usa,19,Possibly a 10' bull shark,Aug,N,F,19
2007,Unprovoked,usa,36, ,Jul,N,M,36
2007,Unprovoked,australia,15,"Bronze whaler shark, 1.5 m ",Jul,N,M,15
2007,Unprovoked,usa,14,2' to 3' shark,Jul,N,M,14
2007,Invalid,usa,43,Shark involvement not confirmed,Jul,,F,43
2007,Unprovoked,usa,30,5' shark,Jul,N,F,30
2007,Unprovoked,bahamas,48,"Bull shark, 5' ",Jul,N,F,48
2007,Unprovoked,usa,20,4' shark,Jun,N,M,20
2007,Invalid,usa,9,Shark involvement not confirmed,Jun,,F,9
2007,Provoked,usa,40,A 10-year-old 94-pound pregnant blacktip reef shark,May,N,F,40
2007,Provoked,england,38,"Lesser spotted dogfish, Scyliorhinus canicula, less than 80 cm in length",May,N,M,38
2007,Unprovoked,australia,38,2.5 m shark,May,N,F,38
2007,Unprovoked,australia,19,10' shark,May,N,M,19
2007,Unprovoked,usa,21,4' to 5' shark,May,N,F,21
2007,Invalid,australia,45,Shark involvement prior to death was not confirmed,May,,M,45
2007,Unprovoked,usa,63,"Tiger shark, 14' ",May,N,F,63
2007,Unprovoked,usa,68,6' to 8' shark,May,N,M,68
2007,Unprovoked,australia,13,"""a small shark""",Apr,N,F,13
2007,Unprovoked,usa,12,blacktip or spinner shark,Apr,N,M,12
2007,Unprovoked,usa,24,3' to 4' shark,Apr,N,M,24
2007,Unprovoked,new caledonia,26,Tiger shark,Apr,N,M,26
2007,Unprovoked,usa,27,3' shark,Mar,N,M,27
2007,Unprovoked,usa,11,4' to 5' shark,Mar,N,M,11
2007,Unprovoked,australia,42,1.5 m shark,Mar,N,F,42
2007,Unprovoked,australia,59,2 to 2.5 m shark,Mar,N,F,59
2007,Unprovoked,new caledonia,30,Tiger shark,Jan,N,M,30
2007,Unprovoked,australia,41,"White shark, 3m",Jan,N,M,41
2007,Unprovoked,south africa,24,Tiger shark,Jan,Y,M,24
2007,Invalid,usa,54,"24"" to 30"" shark",Jan,,M,54
2007,Unprovoked,usa,24,"6' to 8' shark, possibly a tiger shark",Jan,N,M,24
2006,Unprovoked,australia,25,2.5 to 3 m shark,Dec,N,M,25
2006,Unprovoked,new zealand,10,2 to 3 m shark,Dec,N,M,10
2006,Unprovoked,usa,43,"White shark, 12' to 15' ",Dec,N,M,43
2006,Provoked,south africa,25,"Raggedtooth shark, 150-kg",Dec,N,M,25
2006,Unprovoked,australia,15,"White shark, 5m ",Dec,N,M,15
2006,Unprovoked,usa,29,2 m to 3 m shark,Nov,N,M,29
2006,Unprovoked,usa,22,"White shark, 16' ",Oct,N,M,22
2006,Unprovoked,usa,18,3' to 3.5' shark,Oct,N,M,18
2006,Unprovoked,usa,55,Spinner shark,Sep,N,M,55
2006,Invalid,australia,44,No shark involvement,Sep,,M,44
2006,Unprovoked,usa,33,3' shark,Sep,N,M,33
2006,Unprovoked,south africa,24,White shark,Aug,N,M,24
2006,Unprovoked,usa,41,White shark?,Jul,N,M,41
2006,Unprovoked,south africa,19,"White shark, 3m to 4m",Jul,N,M,19
2006,Unprovoked,usa,14, ,Jul,N,M,14
2006,Unprovoked,usa,49,"Angel shark, 1.2m ",Jul,N,M,49
2006,Unprovoked,usa,14,5' to 6' spinner or bull shark,Jul,N,F,14
2006,Unprovoked,usa,22,Possibly a 1' to 3' blacktip or spinner shark,Jun,N,F,22
2006,Unprovoked,usa,24,2' to 3' shark,Jun,N,M,24
2006,Unprovoked,usa,7,3' to 4' shark,Jun,N,F,7
2006,Unprovoked,australia,40,14' white shark,Jun,N,M,40
2006,Unprovoked,usa,26,"Tiger shark, 8' to 12'",May,N,M,26
2006,Provoked,usa,15,"Grey reef shark, 5' to 8' ",May,N,M,15
2006,Unprovoked,usa,30s,"Tiger shark, 10' to 12'",May,N,F,
2006,Provoked,australia,46,"Wobbegong shark, 2 m ",May,N,M,46
2006,Provoked,usa,35,"Bull shark, 4' to bull shark",Apr,N,M,35
2006,Unprovoked,australia,15,"Bronze whaler shark, a  juvenile ",Apr,N,M,15
2006,Unprovoked,south africa,15,"Raggedtooth shark, 2.5 m to 3 m ",Apr,N,M,15
2006,Unprovoked,brazil,35,Tiger shark,Apr,N,M,35
2006,Unprovoked,usa,28,"Tiger shark, 10'  ",Mar,N,F,28
2006,Unprovoked,fiji,21,"Tiger shark, 5' ",Mar,N,M,21
2006,Unprovoked,australia,15,"Bronze whaler shark, 2 m",Mar,N,M,15
2006,Unprovoked,usa,15,5' to 7' shark,Feb,N,F,15
2006,Invalid,usa,45,Invalid,Feb,,M,45
2006,Unprovoked,south africa,15,Raggedtooth shark,Feb,N,M,15
2006,Unprovoked,tonga,24,Tiger shark,Feb,Y,F,24
2006,Boating,usa,57,12' to 18' shark,Feb,N,M,57
2006,Unprovoked,australia,52,3.5 m white shark,Jan,N,M,52
2006,Unprovoked,australia,21,Bull shark,Jan,Y,F,21
2006,Unprovoked,usa,21,4' shark,Jan,N,M,21
2005,Unprovoked,usa,30,White shark,Dec,N,M,30
2005,Unprovoked,usa,29,Tiger shark,Dec,N,M,29
2005,Unprovoked,australia,44,Whitetip reef shark,Dec,N,M,44
2005,Unprovoked,usa,23,4' shark,Nov,N,M,23
2005,Unprovoked,australia,18,1.8 m shark,Nov,N,M,18
2005,Unprovoked,usa,30s,4' shark,Nov,N,M,
2005,Provoked,south africa,32,"Raggedtooth shark, 2.5m ",Nov,N,M,32
2005,Unprovoked,usa,18,6' shark,Nov,N,M,18
2005,Unprovoked,usa,26,12' to 14' white shark,Nov,N,M,26
2005,Unprovoked,st. maartin,55,2' shark,Oct,N,M,55
2005,Unprovoked,south africa,20,3 m shark,Oct,N,M,20
2005,Unprovoked,usa,36,White shark,Oct,N,M,36
2005,Unprovoked,usa,20,18' white shark,Oct,N,F,20
2005,Unprovoked,usa,22,"Tiger shark, less than 10'",Oct,N,M,22
2005,Unprovoked,grand cayman,57,Caribbean reef sharks,Oct,N,F,57
2005,Unprovoked,south africa,52,White shark,Oct,N,M,52
2005,Unprovoked,australia,26,14' to 16' white shark,Sep,N,M,26
2005,Unprovoked,australia,44,Bronze whaler shark,Sep,N,M,44
2005,Unprovoked,usa,68,3' to 4' shark,Sep,N,F,68
2005,Unprovoked,usa,18,Bull shark,Sep,N,F,18
2005,Unprovoked,australia,40,4 m [13'] white shark,Sep,N,M,40
2005,Unprovoked,australia,23,White shark,Aug,Y,M,23
2005,Unprovoked,usa,37,juvenile white shark,Aug,N,M,37
2005,Invalid,usa,17,Shark involvement not confirmed,Aug,,M,17
2005,Unprovoked,usa,8,Possibly a sandbar shark or small blacktip shark,Aug,N,M,8
2005,Unprovoked,usa,16,1.8 m [6'] shark,Aug,N,M,16
2005,Invalid,usa,25,Shark involvement not confirmed,Jul,,M,25
2005,Unprovoked,usa,22,[4.5' to 5'] shark,Jul,N,M,22
2005,Unprovoked,usa,14,[4' to 5'],Jul,N,F,14
2005,Unprovoked,usa,16,Bull shark,Jun,N,M,16
2005,Unprovoked,usa,14,1.8 m [6'] bull shark,Jun,Y,F,14
2005,Unprovoked,vanuatu,7,"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha",Jun,Y,F,7
2005,Invalid,usa,49,Invalid,Jun,,M,49
2005,Unprovoked,usa,20,"Unknown, but it was reported that a shark tooth was recovered from the wound",Jun,N,M,20
2005,Invalid,usa,17,"Mr. Burgess of ISAF announced the injury was the bite of a 1.8 m [6'], 2- to 3-year old white shark. Subsequent investigation revealed there was  no shark involvement in this incident",Jun,,M,17
2005,Unprovoked,south africa,22,White shark,Jun,Y,M,22
2005,Unprovoked,usa,33,"""small shark""",May,N,M,33
2005,Unprovoked,south africa,32,Raggedtooth shark,May,N,M,32
2005,Unprovoked,usa,47,"Tiger shark, 3 m [10']",May,N,M,47
2005,Provoked,australia,25,"Mako shark, 1.5 m [5'] ",Apr,N,M,25
2005,Unprovoked,australia,40,Bronze whaler shark,Apr,N,M,40
2005,Unprovoked,south africa,32,4 m [13'] shark,Mar,N,M,32
2005,Unprovoked,australia,26,6 m [20'] white shark,Mar,Y,M,26
2005,Provoked,usa,45,"Sandtiger shark, 2.1 m [7'] ",Mar,N,M,45
2005,Boating,new zealand,39,White shark,Jan,N,M,39
2004,Unprovoked,australia,18,4.5 m & 5 m white shark ,Dec,Y,M,18
2004,Unprovoked,australia,38,Bull shark,Dec,Y,M,38
2004,Unprovoked,south africa,20,Raggedtooth shark,Nov,N,M,20
2004,Unprovoked,south africa,77,6 m [20'] white shark,Nov,Y,F,77
2004,Unprovoked,usa,38,5.5 m [18'] white shark,Nov,N,,38
2004,Unprovoked,cuba,40,2.5 m [8.25'] bull shark,Oct,N,M,40
2004,Unprovoked,south africa,52,2 m [6.75'] white shark,Oct,N,M,52
2004,Unprovoked,australia,59,"Bronze whaler shark, 2.4 m [8'] ",Oct,N,M,59
2004,Unprovoked,usa,34,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] ",Oct,N,M,34
2004,Unprovoked,south africa,34,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']",Oct,N,M,34
2004,Unprovoked,reunion,15,Thought to involve a 2.5 m bull or tiger shark,Oct,N,M,15
2004,Unprovoked,usa,26,White shark,Sep,N,M,26
2004,Unprovoked,usa,17,2.4 m [8'] shark,Sep,N,F,17
2004,Unprovoked,brazil,24,"Tiger shark, 1.5 m ",Aug,N,M,24
2004,Unprovoked,usa,50,4.9 m to 5.5 m [16' to 18'] white shark,Aug,Y,M,50
2004,Unprovoked,usa,47,1.2 m [4'] shark,Aug,N,M,47
2004,Unprovoked,usa,13,1.8 m [6'] shark,Jul,N,F,13
2004,Unprovoked,usa,19,1.2 m to 1.5 m [4' to 5'] shark,Jul,N,F,19
2004,Unprovoked,usa,11,Bull shark,Jul,N,M,11
2004,Unprovoked,australia,30,"2 sharks, 4.5 m & 3 m ",Jul,Y,M,30
2004,Unprovoked,usa,7,4' to 5' shark,Jul,N,M,7
2004,Unprovoked,usa,45,"9'2"" white shark",Jun,N,M,45
2004,Unprovoked,australia,17,"Bronze whaler shark, 2.5 m [8.25'] ",Jun,N,M,17
2004,Unprovoked,usa,8,1.2 m [4'] shark,Jun,N,M,8
2004,Unprovoked,south africa,21,White shark,Jun,Y,M,21
2004,Unprovoked,usa,16,0.9 m to 1.5 m [3' to 5'] shark,May,N,M,16
2004,Unprovoked,brazil,17,Bull shark,May,N,M,17
2004,Unprovoked,usa,44,2.4 m to 3.7 m [8' to 12'] shark,May,N,M,44
2004,Provoked,bahamas,63,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)",May,N,M,63
2004,Unprovoked,usa,28,"Mako shark, 1.8 m [6']",May,N,M,28
2004,Unprovoked,usa,57,Tiger shark,Apr,Y,M,57
2004,Unprovoked,south africa,16,5 m [16.5'] white shark,Apr,N,M,16
2004,Unprovoked,usa,20,1.2 m [4'] bull shark,Mar,N,M,20
2004,Unprovoked,brazil,22,bull shark,Mar,N,M,22
2004,Unprovoked,reunion,20,2.5 m shark,Mar,N,M,20
2004,Unprovoked,usa,51,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",Mar,N,M,51
2004,Unprovoked,new zealand,15,2 m [6.75'] sevengill  shark,Feb,N,M,15
2004,Invalid,australia,31,Shark involvement not confirmed,Feb,,M,31
2004,Unprovoked,australia,46,4 m to 5 m [13' to 16.5'] white shark,Jan,N,M,46
2004,Unprovoked,venezuela,40,"Bull shark, 132-kg [291-lb] ",Jan,N,M,40
2003,Unprovoked,south africa,21,"Tiger shark, 4 m [13']  ?",Nov,Y,M,21
2003,Unprovoked,usa,35,4' shark,Nov,N,F,35
2003,Unprovoked,usa,18,1.2 m to 1.5 m [4' to 5'] shark,Oct,N,M,18
2003,Unprovoked,australia,22,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark",Oct,N,M,22
2003,Unprovoked,usa,13,"Tiger shark, 14' ",Oct,N,F,13
2003,Invalid,usa,56,Shark involvement not confirmed,Oct,,M,56
2003,Unprovoked,usa,19,1.2 m [4'] shark,Oct,N,M,19
2003,Unprovoked,usa,41,"1.2 m [4'] ""grey-colored shark""",Oct,N,F,41
2003,Unprovoked,usa,30,3' shark,Sep,N,M,30
2003,Invalid,usa,8 or 10,Shark involvement doubtful,Sep,,F,8
2003,Unprovoked,usa,18,6' shark,Sep,N,M,18
2003,Unprovoked,usa,15,7' shark,Sep,N,M,15
2003,Unprovoked,south africa,19,White shark,Sep,Y,M,19
2003,Unprovoked,usa,50,4.5 m to 5.5 m [15' to 18'] white shark,Aug,Y,F,50
2003,Invalid,usa,31,Shark involvement not confirmed,Aug,,M,31
2003,Unprovoked,south africa,16,3.5 m [11.5'] white shark,Aug,N,M,16
2003,Unprovoked,bahamas,58,Unidentified species,Jul,N,M,58
2003,Provoked,usa,10,2' shark,Jul,N,M,10
2003,Unprovoked,bahamas,39,2.1 m  [7'] bull shark,Jul,N,M,39
2003,Unprovoked,usa,17,Unidentified species,Jun,N,M,17
2003,Unprovoked,usa,15,106 cm [3.5']  shark,Jun,N,M,15
2003,Unprovoked,usa,12,small brown shark,Jun,N,F,12
2003,Unprovoked,usa,60,3.7 m to 4.3 m [12' to 14'] shark,Jun,N,M,60
2003,Unprovoked,usa,33,"""sand shark""",Jun,N,M,33
2003,Unprovoked,usa,22,3' to 5' shark,May,N,M,22
2003,Unprovoked,usa,20,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark,May,N,M,20
2003,Provoked,usa,34,4' to 5' shark,May,N,M,34
2003,Unprovoked,brazil,17,Bull shark,Apr,N,M,17
2003,Unprovoked,usa,36,Unidentified species,Apr,N,M,36
2003,Unprovoked,usa,17,Unidentified species,Apr,N,M,17
2003,Unprovoked,usa,30,Unidentified species,Apr,N,M,30
2003,Unprovoked,usa,23,0.9 m to 1.2 m [3' to 4'] shark,Apr,N,M,23
2003,Unprovoked,usa,18,Unidentified species,Apr,N,M,18
2003,Unprovoked,usa,11,A small shark,Apr,N,M,11
