year,type,country,age,species_,month,fatal,sex,age_clean
0,Sea Disaster,,,1.2 m [4'] shark,,Y,,
0,Unprovoked,solomon islands,,,,N,M,
0,Unprovoked,australia,,,,N,M,
0,Unprovoked,iran,,,,Y,M,
0,Unprovoked,iran,,,,Y,M,
0,Unprovoked,iran,,,,Y,M,
0,Unprovoked,iraq,13 or 14,Bull shark,,Y,M,13
0,Unprovoked,saudi arabia,,"""a black-tipped shark""",,Y,M,
0,Unprovoked,saudi arabia,,6' shark,,N,M,
0,Unprovoked,saudi arabia,,,,N,M,
0,Sea Disaster,pacific ocean,,,,Y,M,
0,Provoked,burma,,,,N,M,
0,Sea Disaster,papua new guinea,,,,N,M,
0,Sea Disaster,papua new guinea,,,,N,M,
0,Unprovoked,burma,,,,Y,M,
0,Boat,italy,,White shark,,N,M,
0,Unprovoked,greece,,,,N,M,
0,Unprovoked,belize,16,12' tiger shark,,Y,M,16
0,Unprovoked,australia,,,,,M,
0,Unprovoked,reunion,,,,Y,,
0,Unprovoked,south africa,,,,N,F,
0,Unprovoked,australia,,,,N,M,
0,Unprovoked,south africa,,,,Y,M,
0,Unprovoked,australia,,,,Y,M,
0,Unprovoked,usa,,,,N,M,
0,Unprovoked,vietnam,,,,N,M,
0,Unprovoked,south africa,,,,Y,M,
0,Unprovoked,south africa,,,,Y,M,
0,Unprovoked,fiji,,,,Y,,
0,Unprovoked,usa,,,Jul,N,M,
0,Unprovoked,south africa,,,Jul,Y,M,
0,Unprovoked,south africa,,,Jul,Y,M,
0,Unprovoked,asia?,,,,N,M,
0,Unprovoked,usa,,,,N,F,
0,Unprovoked,australia,,Blue pointer,,Y,M,
0,Unprovoked,australia,,Blue pointer,,Y,M,
0,Unprovoked,australia,,Blue pointers,,Y,M,
0,Unprovoked,australia,,Said to involve a grey nurse shark that leapt out of the water and  seized the boy but species identification is questionable,,Y,M,
0,Unprovoked,australia,,,,Y,M,
0,Unprovoked,australia,,,,Y,M,
0,Unprovoked,usa,,,,Y,M,
0,Unprovoked,panama,,,,Y,M,
0,Unprovoked,ceylon (sri lanka),15,,,Y,M,15
2018,Boating,usa,57,White shark,Jun,N,F,57
2018,Unprovoked,brazil,18,Tiger shark,Jun,Y,M,18
2018,Unprovoked,usa,15,"Bull shark, 6'",May,N,M,15
2018,Provoked,australia,32,Grey reef shark,May,N,M,32
2018,Invalid,england,21,Invalid incident,May,N,M,21
2018,Unprovoked,costa rica,30,Tiger shark,Apr,N,M,30
2018,Unprovoked,australia,60,3 m shark,Apr,N,M,60
2018,Unprovoked,maldives,32,Tiger shark,Apr,N,M,32
2018,Unprovoked,south africa,33,"White shark, 2.5 m",Apr,N,M,33
2018,Unprovoked,south africa,19,White shark,Apr,N,M,19
2018,Unprovoked,usa,25,"Tiger shark, 12'",Mar,N,M,25
2018,Unprovoked,australia,10,Wobbegong shark,Mar,N,M,10
2018,Unprovoked,australia,69,3.5 m shark,Mar,N,M,69
2018,Unprovoked,australia,18,1.8 m shark,Mar,N,M,18
2018,Unprovoked,australia,55,"Juvenile white shark,  2.7 to 3.2 m",Feb,N,F,55
2018,Unprovoked,australia,35,"Bull shark, 2 m",Feb,N,M,35
2018,Unprovoked,brazil,20,small shark,Jan,N,M,20
2017,Unprovoked,usa,54,Tiger shark,Dec,N,F,54
2017,Unprovoked,usa,25,"White shark, 4.6 m",Nov,N,M,25
2017,Unprovoked,australia,25,2 m shark,Nov,N,M,25
2017,Unprovoked,cuba,22,Tiger shark,Nov,Y,M,22
2017,Unprovoked,australia,31,"Wobbegong shark, 1 m",Oct,N,M,31
2017,Unprovoked,australia,15,"White shark, 4.5 m",Oct,N,F,15
2017,Unprovoked,usa,54,"Tiger shark, 8 to 10 feet",Oct,N,M,54
2017,Unprovoked,usa,40,8' shark,Oct,N,F,40
2017,Invalid,usa,33,Questionable,Sep,,M,33
2017,Unprovoked,usa,18,5' to 6' shark,Sep,N,M,18
