,case_number,year,type,country,age,species_,month,fatal,sex,species_shark,edad_ataques
161,ND.0009,1975.0,Unprovoked,australia,,Blue pointer,,Y,M,Unspecified,
162,ND.0008,1975.0,Unprovoked,australia,,Blue pointer,,Y,M,Unspecified,
163,ND.0007,1975.0,Unprovoked,australia,,Blue pointers,,Y,M,Unspecified,
164,ND.0006,1975.0,Unprovoked,australia,,Said to involve a grey nurse shark that leapt out of the water and  seized the boy but species identification is questionable,,Y,M,Grey,
165,ND.0005,1975.0,Unprovoked,australia,,,,Y,M,Unspecified,
166,ND.0004,1975.0,Unprovoked,australia,,,,Y,M,Unspecified,
167,ND.0003,1975.0,Unprovoked,usa,,,,Y,M,Unspecified,
168,ND.0002,1975.0,Unprovoked,panama,,,,Y,M,Unspecified,
169,ND.0001,1975.0,Unprovoked,ceylon (sri lanka),15.0,,,Y,M,Unspecified,joven
170,2018.06.25,2018.0,Boating,usa,57.0,White shark,Jun,N,F,White,adulto
171,2018.06.03.a,2018.0,Unprovoked,brazil,18.0,Tiger shark,Jun,Y,M,Tiger,joven
172,2018.05.26.b,2018.0,Unprovoked,usa,15.0,"Bull shark, 6'",May,N,M,Bull,joven
173,2018.05.24,2018.0,Provoked,australia,32.0,Grey reef shark,May,N,M,Grey,adulto
174,2018.05.13.a,2018.0,Invalid,england,21.0,Invalid incident,May,N,M,Unspecified,joven
175,2018.04.28.b,2018.0,Unprovoked,costa rica,30.0,Tiger shark,Apr,N,M,Tiger,joven
176,2018.04.25.a,2018.0,Unprovoked,australia,60.0,3 m shark,Apr,N,M,Unspecified,mayor
177,2018.04.23,2018.0,Unprovoked,maldives,32.0,Tiger shark,Apr,N,M,Tiger,adulto
178,2018.04.22,2018.0,Unprovoked,south africa,33.0,"White shark, 2.5 m",Apr,N,M,White,adulto
179,2018.04.03,2018.0,Unprovoked,south africa,19.0,White shark,Apr,N,M,White,joven
180,2018.03.31,2018.0,Unprovoked,usa,25.0,"Tiger shark, 12'",Mar,N,M,Tiger,joven
181,2018.03.14,2018.0,Unprovoked,australia,10.0,Wobbegong shark,Mar,N,M,Unspecified,joven
182,2018.03.09.b,2018.0,Unprovoked,australia,28.70969899665552,3.5 m shark,Mar,N,M,Unspecified,mayor
183,2018.03.09.a,2018.0,Unprovoked,australia,18.0,1.8 m shark,Mar,N,M,Unspecified,joven
184,2018.02.23,2018.0,Unprovoked,australia,55.0,"Juvenile white shark,  2.7 to 3.2 m",Feb,N,F,White,adulto
185,2018.02.15,2018.0,Unprovoked,australia,35.0,"Bull shark, 2 m",Feb,N,M,Bull,adulto
186,2018.01.12,2018.0,Unprovoked,brazil,20.0,small shark,Jan,N,M,Unspecified,joven
187,2017.12.31,2017.0,Unprovoked,usa,54.0,Tiger shark,Dec,N,F,Tiger,adulto
188,2017.11.24,2017.0,Unprovoked,usa,25.0,"White shark, 4.6 m",Nov,N,M,White,joven
189,2017.11.13,2017.0,Unprovoked,australia,25.0,2 m shark,Nov,N,M,Unspecified,joven
190,2017.11.04,2017.0,Unprovoked,cuba,22.0,Tiger shark,Nov,Y,M,Tiger,joven
191,2017.10.28,2017.0,Unprovoked,australia,31.0,"Wobbegong shark, 1 m",Oct,N,M,Unspecified,joven
192,2017.10.22,2017.0,Unprovoked,australia,15.0,"White shark, 4.5 m",Oct,N,F,White,joven
193,2017.10.09,2017.0,Unprovoked,usa,54.0,"Tiger shark, 8 to 10 feet",Oct,N,M,Tiger,adulto
194,2017.10.05,2017.0,Unprovoked,usa,40.0,8' shark,Oct,N,F,Unspecified,adulto
195,2017.09.24.b,2017.0,Invalid,usa,33.0,Questionable,Sep,,M,Unspecified,adulto
196,2017.09.13,2017.0,Unprovoked,usa,18.0,5' to 6' shark,Sep,N,M,Unspecified,joven
197,2017.09.10.a,2017.0,Unprovoked,australia,35.0,"White shark, 3 to 3.5m ",Sep,N,M,White,adulto
198,2017.08.29,2017.0,Unprovoked,australia,37.0,"White shark, 3 m",Aug,N,M,White,adulto
199,2017.08.26.b,2017.0,Invalid,spain,11.0,Shark involvement questionable,Aug,,F,Unspecified,joven
200,2017.08.23,2017.0,Unprovoked,usa,28.70969899665552,"White shark, 5' to 7'",Aug,N,M,White,mayor
201,2017.08.10,2017.0,Unprovoked,usa,13.0,Possibly a juvenile blacktip shark,Aug,N,M,Unspecified,joven
202,2017.08.03,2017.0,Provoked,usa,34.0,4' shark,Aug,N,M,Unspecified,adulto
203,2017.07.29.c,2017.0,Invalid,usa,10.0,A small shark,Jul,,M,Unspecified,joven
204,2017.07.20.b,2017.0,Boating,usa,40.0,"White shark, 11' to 13'",Jul,N,M,White,adulto
205,2017.07.20.a,2017.0,Unprovoked,usa,50.0,"White shark, 8' to 10'",Jul,N,M,White,adulto
206,2017.07.09,2017.0,Unprovoked,usa,46.0,"Bull shark, 4' to 5'",Jul,N,M,Bull,adulto
207,2017.07.07,2017.0,Unprovoked,south africa,13.0,"White shark, 2.5 m",Jul,N,F,White,joven
208,2017.06.11,2017.0,Unprovoked,australia,48.0,"White shark, 4 m",Jun,N,M,White,adulto
209,2017.06.02,2017.0,Unprovoked,bahamas,32.0,Tiger shark,Jun,N,F,Tiger,adulto
210,2017.05.03,2017.0,Invalid,usa,18.0,Shark involvement highly doubtful,May,,F,Unspecified,joven
211,2017.04.17.a,2017.0,Unprovoked,australia,17.0,White shark,Apr,Y,F,White,joven
212,2017.04.14,2017.0,Unprovoked,usa,28.0,"Tiger shark, 12'",Apr,N,M,Tiger,joven
213,2017.04.02.a,2017.0,Unprovoked,usa,17.0,"Bull shark, 5' to 7'",Apr,N,F,Bull,joven
214,2017.01.21,2017.0,Unprovoked,australia,55.0,"Bull shark, 4 m",Jan,N,M,Bull,adulto
215,2017.01.09,2017.0,Unprovoked,indonesia,48.0,"Bull shark, 1 m",Jan,N,M,Bull,adulto
216,2017.01.03,2017.0,Invalid,australia,20.0,Shark involvement not confirmed,Jan,,M,Unspecified,joven
217,2016.12.19,2016.0,Unprovoked,south africa,55.0,"White shark, 4 m",Dec,N,M,White,adulto
218,2016.12.11.a,2016.0,Invalid,usa,19.0,Shark involvement not confirmed,Dec,,M,Unspecified,joven
219,2016.12.06,2016.0,Provoked,australia,20.0,"Wobbegong shark, 2m",Dec,N,M,Unspecified,joven
220,2016.12.01,2016.0,Unprovoked,australia,65.0,White shark,Dec,N,M,White,mayor
221,2016.11.28,2016.0,Provoked,australia,28.70969899665552,"Broadnose sevengill shark, 1.5 m",Nov,N,M,Unspecified,mayor
222,2016.11.14,2016.0,Unprovoked,usa,58.0,Tiger shark,Nov,N,F,Tiger,mayor
223,2016.10.21,2016.0,Unprovoked,usa,36.0, 6' to 8' shark,Oct,N,M,Unspecified,adulto
